GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
employee-spring,com.increff.pos.dao,AbstractDao,0,19,0,0,0,4,0,4,0,4
employee-spring,com.increff.pos.dao,ProductDao,27,96,0,0,6,27,2,9,2,9
employee-spring,com.increff.pos.dao,InvoiceDao,22,6,0,0,5,2,2,1,2,1
employee-spring,com.increff.pos.dao,SchedulerDao,34,9,0,0,9,3,4,1,4,1
employee-spring,com.increff.pos.dao,BrandDao,27,79,0,0,6,22,2,8,2,8
employee-spring,com.increff.pos.dao,InventoryDao,0,41,0,0,0,11,0,5,0,5
employee-spring,com.increff.pos.dao,UserDao,59,12,0,0,14,5,6,2,6,2
employee-spring,com.increff.pos.dao,OrderItemDao,38,9,0,0,9,3,4,1,4,1
employee-spring,com.increff.pos.dao,OrderDao,79,18,0,0,17,6,6,1,6,1
employee-spring,com.increff.pos.dto,ReportDto,625,3,34,0,118,1,23,1,6,1
employee-spring,com.increff.pos.dto,BrandDto,0,106,0,2,0,29,0,10,0,9
employee-spring,com.increff.pos.dto,ProductDto,0,210,0,6,0,51,0,13,0,10
employee-spring,com.increff.pos.dto,OrderDto,445,3,10,0,92,1,15,1,10,1
employee-spring,com.increff.pos.dto,InventoryDto,0,112,0,2,0,29,0,9,0,8
employee-spring,com.increff.pos.service,ApiException,4,0,0,0,2,0,1,0,1,0
employee-spring,com.increff.pos.service,SchedulerService,9,3,0,0,3,1,2,1,2,1
employee-spring,com.increff.pos.service,OrderItemsService,67,3,14,0,14,1,9,1,2,1
employee-spring,com.increff.pos.service,BrandService,32,117,9,9,7,30,9,10,0,10
employee-spring,com.increff.pos.service,ProductService,70,158,16,14,12,42,15,10,0,10
employee-spring,com.increff.pos.service,InventoryService,42,58,6,6,7,18,6,6,0,6
employee-spring,com.increff.pos.service,UserService,48,3,2,0,13,1,6,1,5,1
employee-spring,com.increff.pos.service,InvoiceService,28,3,2,0,6,1,3,1,2,1
employee-spring,com.increff.pos.service,AboutAppService,0,9,0,0,0,3,0,3,0,3
employee-spring,com.increff.pos.service,OrderService,28,3,0,0,7,1,5,1,5,1
employee-spring,com.increff.pos.model,OrderItemData,45,0,0,0,8,0,13,0,13,0
employee-spring,com.increff.pos.model,MessageData,10,0,0,0,4,0,3,0,3,0
employee-spring,com.increff.pos.model,InventoryData,6,25,0,0,2,4,2,7,2,7
employee-spring,com.increff.pos.model,InfoData,33,0,0,0,13,0,7,0,7,0
employee-spring,com.increff.pos.model,SalesByBrandAndCategoryData,31,0,0,0,6,0,9,0,9,0
employee-spring,com.increff.pos.model,InventoryForm,0,17,0,0,0,4,0,5,0,5
employee-spring,com.increff.pos.model,ProductForm,0,38,0,0,0,7,0,11,0,11
employee-spring,com.increff.pos.model,ProductData,6,39,0,0,2,6,2,11,2,11
employee-spring,com.increff.pos.model,AboutAppData,17,0,0,0,7,0,5,0,5,0
employee-spring,com.increff.pos.model,OrderData,17,0,0,0,4,0,5,0,5,0
employee-spring,com.increff.pos.model,BrandForm,0,17,0,0,0,4,0,5,0,5
employee-spring,com.increff.pos.model,UserForm,17,0,0,0,4,0,5,0,5,0
employee-spring,com.increff.pos.model,OrderForm,24,0,0,0,5,0,7,0,7,0
employee-spring,com.increff.pos.model,LoginForm,17,0,0,0,4,0,5,0,5,0
employee-spring,com.increff.pos.model,DayWiseReportData,31,0,0,0,6,0,9,0,9,0
employee-spring,com.increff.pos.model,InventoryReportData,24,0,0,0,5,0,7,0,7,0
employee-spring,com.increff.pos.model,BrandData,0,24,0,0,0,5,0,7,0,7
employee-spring,com.increff.pos.model,UserData,24,0,0,0,5,0,7,0,7,0
employee-spring,com.increff.pos.controller,SiteUiController,24,3,0,0,6,1,6,1,6,1
employee-spring,com.increff.pos.controller,SampleController,43,3,0,0,11,1,1,1,1,1
employee-spring,com.increff.pos.controller,AppUiController,32,3,0,0,8,1,8,1,8,1
employee-spring,com.increff.pos.controller,SalesReportController,14,3,0,0,3,1,3,1,3,1
employee-spring,com.increff.pos.controller,AbstractUiController,39,3,4,0,7,1,3,1,1,1
employee-spring,com.increff.pos.controller,InventoryApiController,20,3,0,0,6,1,4,1,4,1
employee-spring,com.increff.pos.controller,OrderApiController,74,3,2,0,14,1,6,1,5,1
employee-spring,com.increff.pos.controller,AppRestControllerAdvice,27,3,0,0,6,1,2,1,2,1
employee-spring,com.increff.pos.controller,AdminApiController,105,3,6,0,26,1,8,1,5,1
employee-spring,com.increff.pos.controller,ProductApiController,31,3,0,0,8,1,6,1,6,1
employee-spring,com.increff.pos.controller,BrandApiController,31,3,0,0,8,1,6,1,6,1
employee-spring,com.increff.pos.controller,AboutApiController,16,3,0,0,4,1,1,1,1,1
employee-spring,com.increff.pos.controller,LoginController,90,3,6,0,20,1,6,1,3,1
employee-spring,com.increff.pos.util,StringUtil,21,0,6,0,3,0,6,0,3,0
employee-spring,com.increff.pos.util,IOUtil,11,0,2,0,7,0,3,0,2,0
employee-spring,com.increff.pos.util,CookieUtil,36,0,6,0,8,0,5,0,2,0
employee-spring,com.increff.pos.util,SecurityUtil,27,0,2,0,9,0,6,0,5,0
employee-spring,com.increff.pos.util,UserPrincipal,24,0,0,0,10,0,7,0,7,0
employee-spring,com.increff.pos.pojo,ProductPojo,0,52,0,0,0,9,0,15,0,15
employee-spring,com.increff.pos.pojo,SchedulerPojo,31,0,0,0,6,0,9,0,9,0
employee-spring,com.increff.pos.pojo,InventoryPojo,0,24,0,0,0,5,0,7,0,7
employee-spring,com.increff.pos.pojo,OrderItemPojo,42,3,0,0,7,1,12,1,12,1
employee-spring,com.increff.pos.pojo,InvoicePojo,17,0,0,0,4,0,5,0,5,0
employee-spring,com.increff.pos.pojo,BrandPojo,4,20,0,0,0,5,1,6,1,6
employee-spring,com.increff.pos.pojo,UserPojo,28,3,0,0,5,1,8,1,8,1
employee-spring,com.increff.pos.pojo,OrderPojo,20,3,0,0,6,1,5,1,5,1
employee-spring,com.increff.pos.spring,SecurityConfig,0,398,0,0,0,33,0,4,0,4
employee-spring,com.increff.pos.spring,SpringSecurityInitializer,3,0,0,0,1,0,1,0,1,0
employee-spring,com.increff.pos.spring,DbConfig,0,108,0,0,0,28,0,4,0,4
employee-spring,com.increff.pos.spring,ControllerConfig,4,142,0,0,2,30,1,8,1,8
employee-spring,com.increff.pos.spring,WebInitializer,20,0,0,0,4,0,4,0,4,0
employee-spring,com.increff.pos.spring,SpringConfig,3,0,0,0,1,0,1,0,1,0
